x, y
4.8979498317533E-05,1.0626120350988E-05
9.3294387853055E-05,3.4132385590352E-05
1.3994158177958E-04,5.5384615384615E-05
1.8658893372131E-04,6.4078717820047E-05
2.2857136085063E-04,6.9552775852600E-05
3.4752188708076E-04,8.0178896203588E-05
4.6413995090468E-04,8.3076923076923E-05
5.7842555232239E-04,8.8228985395359E-05
6.9504361614631E-04,8.7906978773528E-05
8.0932937557922E-04,9.0805016554577E-05
9.3061220620036E-04,8.9838985781371E-05
1.0448978076181E-03,9.0483009932746E-05
1.1615160294572E-03,8.9517000974968E-05
1.2781340932811E-03,9.4347045763859E-05
1.3994167658870E-03,9.0483009932746E-05
1.5183671341020E-03,9.2415027848303E-05
